Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2006,153375,Grand View University,IA,NAIA Division II,,2,NAIA,746,897,1643,26028,5,41314,3.15,28460,6,42690,4.00,,,,
2006,153384,Grinnell College,IA,NCAA Division III with football,,1,NCAA,743,910,1653,24089,9,72997,2.97,21309,9,64573,2.97,,,,
2006,153603,Iowa State University,IA,NCAA Division I-FBS,,1,NCAA,16457,12334,28791,430267,5,430267,5.00,130076,9,130076,9.00,,,,
2006,153621,Iowa Wesleyan University,IA,NCAA Division III with football,,1,NCAA,237,242,479,45410,6,65812,4.14,37207,6,63602,3.51,,,,
2006,153825,Loras College,IA,NCAA Division III with football,,1,NCAA,731,669,1400,28957,9,60891,4.28,23949,8,45080,4.25,,,,
2006,153834,Luther College,IA,NCAA Division III with football,,1,NCAA,943,1164,2107,32569,9,65575,4.47,21742,8,53191,3.27,,,,
2006,154004,Morningside College,IA,NAIA Division II,,2,NAIA,596,697,1293,32497,9,53177,5.50,24632,8,35828,5.50,,,,
2006,154013,Mount Mercy University,IA,NAIA Division I,,2,NAIA,346,700,1046,14997,5,37493,2.00,8675,6,26025,2.00,,,,
2006,154101,Northwestern College,IA,NAIA Division II,,2,NAIA,455,586,1041,18010,8,44745,3.22,15054,7,38043,2.77,,,,
2006,154235,Saint Ambrose University,IA,NAIA Division II,,2,NAIA,950,1237,2187,15996,8,35060,3.65,11591,7,24965,3.25,,,,
2006,154350,Simpson College,IA,NCAA Division III with football,,1,NCAA,605,774,1379,21430,9,48097,4.01,14418,9,36656,3.54,,,,
2006,153278,University of Dubuque,IA,NCAA Division III with football,,1,NCAA,1035,644,1679,29829,8,34090,7.00,22150,7,31010,5.00,,,,
2006,153658,University of Iowa,IA,NCAA Division I-FBS,,1,NCAA,9801,10889,20690,586395,9,659694,8.00,157228,11,164715,10.50,,,,
2006,154095,University of Northern Iowa,IA,NCAA Division I-FCS,,1,NCAA,3856,5263,9119,123804,6,160437,4.63,75996,8,91838,6.62,,,,
2006,154493,Upper Iowa University,IA,NCAA Division II with football,,1,NCAA,878,1346,2224,41241,6,49489,5.00,29512,6,35414,5.00,,,,
2006,154518,Waldorf University,IA,NAIA Division II,,2,NAIA,867,546,1413,9988,6,36101,1.66,10508,5,25019,2.10,,,,
2006,154527,Wartburg College,IA,NCAA Division III with football,,1,NCAA,686,747,1433,23731,9,53129,4.02,16402,8,40127,3.27,,,,
2006,154590,William Penn University,IA,NAIA Division I,,2,NAIA,613,498,1111,24613,7,42022,4.10,26693,5,33366,4.00,,,,
2007,152992,Briar Cliff University,IA,NAIA Division II,,2,NAIA,412,376,788,20708,7,48807,2.97,12690,7,42913,2.07,,,,
2007,153001,Buena Vista University,IA,NCAA Division III with football,,1,NCAA,544,979,1523,27695,8,43189,5.13,25461,7,44116,4.04,,,,
2007,153108,Central College,IA,NCAA Division III with football,,1,NCAA,573,603,1176,29372,10,62761,4.68,23046,9,62853,3.30,,,,
2007,153126,Clarke University,IA,NAIA Division I,,2,NAIA,251,481,732,17792,6,33570,3.18,14131,7,32326,3.06,,,,
2007,153144,Coe College,IA,NCAA Division III with football,,1,NCAA,552,753,1305,29634,10,54374,5.45,19283,9,43936,3.95,,,,
2007,153162,Cornell College,IA,NCAA Division III with football,,1,NCAA,489,484,973,32985,10,44275,7.45,26756,9,37334,6.45,,,,
2007,153250,Dordt College,IA,NAIA Division II,,2,NAIA,721,646,1367,6511,7,10852,4.20,6511,7,10852,4.20,,,,
2007,153269,Drake University,IA,NCAA Division I-FCS,,1,NCAA,1313,1778,3091,61752,6,74102,5.00,54144,8,61879,7.00,,,,
2007,153302,Emmaus Bible College,IA,Other,ACCA and MCCC,9,other,99,131,230,3000,1,10345,0.29,3000,1,10345,0.29,,,,
2007,153320,Faith Baptist Bible College and Theological Seminary,IA,NCCAA Division II,,4,NCCAA,88,106,194,2933,3,10601,0.83,3650,3,18879,0.58,,,,
2007,153366,Graceland University-Lamoni,IA,NAIA Division II,,2,NAIA,514,652,1166,19329,10,40102,4.82,15675,9,43142,3.27,,,,
2007,153375,Grand View University,IA,NAIA Division II,,2,NAIA,746,897,1643,26808,5,42552,3.15,27302,6,40953,4.00,,,,
2007,153384,Grinnell College,IA,NCAA Division III with football,,1,NCAA,743,910,1653,24314,10,85312,2.85,21938,10,80066,2.74,,,,
2007,153603,Iowa State University,IA,NCAA Division I-FBS,,1,NCAA,16457,12334,28791,433500,5,481667,4.50,137893,9,146004,8.50,,,,
2007,153621,Iowa Wesleyan University,IA,NCAA Division III with football,,1,NCAA,237,242,479,27800,6,40290,4.14,23667,5,35536,3.33,,,,
2007,153825,Loras College,IA,NCAA Division III with football,,1,NCAA,731,669,1400,33448,9,62068,4.85,23672,8,50500,3.75,,,,
2007,153834,Luther College,IA,NCAA Division III with football,,1,NCAA,943,1164,2107,31703,10,70924,4.47,21388,9,53175,3.62,,,,
2007,154004,Morningside College,IA,NAIA Division II,,2,NAIA,596,697,1293,35532,9,49198,6.50,29733,8,43248,5.50,,,,
2007,154013,Mount Mercy University,IA,NAIA Division I,,2,NAIA,346,700,1046,16925,6,40620,2.50,11415,6,34245,2.00,,,,
2007,154101,Northwestern College,IA,NAIA Division II,,2,NAIA,455,586,1041,21456,8,47286,3.63,15780,7,38622,2.86,,,,
2007,154235,Saint Ambrose University,IA,NAIA Division II,,2,NAIA,950,1237,2187,17544,8,38453,3.65,13850,7,29831,3.25,,,,
2007,154350,Simpson College,IA,NCAA Division III with football,,1,NCAA,605,774,1379,22205,9,49102,4.07,14945,9,39794,3.38,,,,
2007,153278,University of Dubuque,IA,NCAA Division III with football,,1,NCAA,1035,644,1679,36374,8,48499,6.00,27487,7,34983,5.50,,,,
2007,153658,University of Iowa,IA,NCAA Division I-FBS,,1,NCAA,9801,10889,20690,582595,9,616865,8.50,155800,11,163219,10.50,,,,
2007,154095,University of Northern Iowa,IA,NCAA Division I-FCS,,1,NCAA,3856,5263,9119,131523,6,170440,4.63,72798,8,87973,6.62,,,,
2007,154493,Upper Iowa University,IA,NCAA Division II with football,,1,NCAA,878,1346,2224,42818,6,51382,5.00,29782,6,35738,5.00,,,,
2007,154518,Waldorf University,IA,NAIA Division II,,2,NAIA,867,546,1413,9988,6,26056,2.30,10507,5,35023,1.50,,,,
2007,154527,Wartburg College,IA,NCAA Division III with football,,1,NCAA,686,747,1433,25493,9,56373,4.07,19465,8,46904,3.32,,,,
2007,154590,William Penn University,IA,NAIA Division I,,2,NAIA,613,498,1111,32455,8,54661,4.75,24996,6,37494,4.00,,,,
2008,152992,Briar Cliff University,IA,NAIA Division II,,2,NAIA,412,376,788,24848,7,50563,3.44,19053,7,47975,2.78,,,,
2008,153001,Buena Vista University,IA,NCAA Division III with football,,1,NCAA,544,979,1523,27889,9,45637,5.50,21546,8,39716,4.34,,,,
2008,153108,Central College,IA,NCAA Division III with football,,1,NCAA,573,603,1176,27005,10,58707,4.60,17882,9,45592,3.53,,,,
2008,153126,Clarke University,IA,NAIA Division I,,2,NAIA,251,481,732,18169,6,37206,2.93,17380,6,35590,2.93,,,,
2008,153144,Coe College,IA,NCAA Division III with football,,1,NCAA,552,753,1305,31466,10,58270,5.40,20570,9,47469,3.90,,,,
2008,153162,Cornell College,IA,NCAA Division III with football,,1,NCAA,489,484,973,31337,10,53476,5.86,27679,9,45625,5.46,,,,
2008,153250,Dordt College,IA,NAIA Division II,,2,NAIA,721,646,1367,7112,8,13547,4.20,7112,7,11853,4.20,,,,
2008,153269,Drake University,IA,NCAA Division I-FCS,,1,NCAA,1313,1778,3091,81146,6,97375,5.00,50561,8,57784,7.00,,,,
2008,153302,Emmaus Bible College,IA,Other,ACCA and MCCC,9,other,99,131,230,3000,1,12000,0.25,3000,1,12000,0.25,,,,
2008,153320,Faith Baptist Bible College and Theological Seminary,IA,NCCAA Division II,,4,NCCAA,88,106,194,2933,3,23781,0.37,3600,3,26341,0.41,,,,
2008,153366,Graceland University-Lamoni,IA,NAIA Division II,,2,NAIA,514,652,1166,20773,10,53956,3.85,17821,9,56277,2.85,,,,
2008,153375,Grand View University,IA,NAIA Division II,,2,NAIA,746,897,1643,29100,9,48862,5.36,23676,8,41537,4.56,,,,
2008,153384,Grinnell College,IA,NCAA Division III with football,,1,NCAA,743,910,1653,24960,10,79744,3.13,22508,10,73797,3.05,,,,
2008,153603,Iowa State University,IA,NCAA Division I-FBS,,1,NCAA,16457,12334,28791,407421,5,452690,4.50,124253,9,131562,8.50,,,,
2008,153621,Iowa Wesleyan University,IA,NCAA Division III with football,,1,NCAA,237,242,479,22844,6,36453,3.76,26377,6,34405,4.60,,,,
2008,153825,Loras College,IA,NCAA Division III with football,,1,NCAA,731,669,1400,36380,9,63577,5.15,25289,8,53950,3.75,,,,
2008,153834,Luther College,IA,NCAA Division III with football,,1,NCAA,943,1164,2107,39925,10,83351,4.79,29735,9,67923,3.94,,,,
2008,154004,Morningside College,IA,NAIA Division II,,2,NAIA,596,697,1293,51278,9,73488,6.28,45644,8,69421,5.26,,,,
2008,154013,Mount Mercy University,IA,NAIA Division I,,2,NAIA,346,700,1046,20826,5,41652,2.50,15090,5,37725,2.00,,,,
2008,154101,Northwestern College,IA,NAIA Division II,,2,NAIA,455,586,1041,21961,8,46234,3.80,12554,8,32190,3.12,,,,
2008,154235,Saint Ambrose University,IA,NAIA Division II,,2,NAIA,950,1237,2187,17991,8,39432,3.65,14291,7,30781,3.25,,,,
2008,154350,Simpson College,IA,NCAA Division III with football,,1,NCAA,605,774,1379,19279,9,41116,4.22,14015,9,36882,3.42,,,,
2008,153278,University of Dubuque,IA,NCAA Division III with football,,1,NCAA,1035,644,1679,30322,9,41984,6.50,25207,8,36665,5.50,,,,
2008,153658,University of Iowa,IA,NCAA Division I-FBS,,1,NCAA,9801,10889,20690,645604,10,759534,8.50,191106,12,218407,10.50,,,,
2008,154095,University of Northern Iowa,IA,NCAA Division I-FCS,,1,NCAA,3856,5263,9119,111668,6,138146,4.85,52829,8,63842,6.62,,,,
2008,154493,Upper Iowa University,IA,NCAA Division II with football,,1,NCAA,878,1346,2224,45347,6,54416,5.00,30387,6,36464,5.00,,,,
2008,154518,Waldorf University,IA,NAIA Division II,,2,NAIA,867,546,1413,9988,6,26056,2.30,10507,5,35023,1.50,,,,
2008,154527,Wartburg College,IA,NCAA Division III with football,,1,NCAA,686,747,1433,26447,9,61824,3.85,19995,8,48181,3.32,,,,
2008,154590,William Penn University,IA,NAIA Division I,,2,NAIA,613,498,1111,36553,9,60922,5.40,24048,8,45267,4.25,,,,
2009,152992,Briar Cliff University,IA,NAIA Division II,,2,NAIA,412,376,788,22492,8,50686,3.55,18935,7,47678,2.78,,,,
2009,153001,Buena Vista University,IA,NCAA Division III with football,,1,NCAA,544,979,1523,27876,9,45865,5.47,20920,8,37950,4.41,,,,
2009,153108,Central College,IA,NCAA Division III with football,,1,NCAA,573,603,1176,25354,10,56975,4.45,17384,9,46289,3.38,,,,
2009,153126,Clarke University,IA,NAIA Division I,,2,NAIA,251,481,732,20354,6,34596,3.53,20398,6,34671,3.53,,,,
2009,153144,Coe College,IA,NCAA Division III with football,,1,NCAA,552,753,1305,25789,10,47757,5.40,16565,9,38227,3.90,,,,
2009,153162,Cornell College,IA,NCAA Division III with football,,1,NCAA,489,484,973,27287,10,44954,6.07,23088,9,40985,5.07,,,,
2009,153250,Dordt College,IA,NAIA Division II,,2,NAIA,721,646,1367,14400,7,40320,2.50,12125,6,36375,2.00,,,,
2009,153269,Drake University,IA,NCAA Division I-FCS,,1,NCAA,1313,1778,3091,83474,6,100169,5.00,52595,8,60109,7.00,,,,
2009,153302,Emmaus Bible College,IA,Other,ACCA and MCCC,9,other,99,131,230,2175,2,25588,0.17,2175,2,25588,0.17,,,,
